Dalc,Fedu,Fjob,MG1,MG2,Medu,Mjob,Pstatus,Walc,activities,address,age,failures,famrel,famsize,famsup,freetime,goout,guardian,health,higher,internet,nursery,paid,predictedMarks,reason,romantic,school,schoolsup,sex,studytime,traveltime
2,3,other,9,9,4,teacher,T,3,yes,U,15,0,4,GT3,yes,3,3,mother,5,yes,yes,yes,yes,10,home,no,GP,no,M,2,1
1,2,other,11,10,2,services,T,1,yes,U,16,1,4,GT3,no,4,2,father,3,yes,yes,no,yes,11,reputation,no,GP,no,M,2,2
1,2,other,12,12,3,services,A,2,no,U,17,0,1,LE3,no,2,3,mother,5,yes,no,yes,no,12,reputation,yes,MS,no,F,2,2
1,3,teacher,16,16,2,services,T,1,no,U,16,0,2,GT3,no,3,1,mother,3,yes,yes,yes,no,15,other,no,GP,yes,F,2,1
1,1,other,15,15,2,other,T,2,yes,U,16,0,4,LE3,no,2,3,mother,5,yes,yes,yes,yes,15,course,yes,GP,no,M,2,1
1,1,other,13,12,2,other,T,1,no,U,16,0,4,GT3,no,5,2,mother,5,yes,yes,yes,no,11,home,yes,GP,no,F,1,1
2,4,other,10,0,3,at_home,T,4,no,R,17,0,5,GT3,no,4,5,mother,5,yes,no,yes,no,10,course,no,GP,no,M,2,3
1,1,teacher,13,12,1,services,T,1,no,U,17,0,4,GT3,yes,3,3,mother,3,yes,yes,yes,yes,11,reputation,no,GP,no,F,3,1
1,3,services,7,0,3,services,T,1,yes,U,18,0,5,GT3,no,3,4,mother,4,yes,yes,yes,no,0,home,no,GP,no,F,2,1
1,2,other,11,9,2,other,T,1,no,U,17,0,4,GT3,yes,2,2,mother,3,yes,no,yes,no,10,course,yes,GP,no,F,2,1
1,4,services,13,14,4,services,T,2,yes,U,16,0,3,GT3,yes,2,3,mother,2,yes,yes,yes,yes,14,reputation,no,GP,no,F,3,1
1,3,at_home,7,9,4,other,T,1,no,U,16,0,5,GT3,yes,3,5,mother,3,yes,yes,yes,yes,0,course,no,GP,yes,F,3,1
5,4,teacher,10,12,4,teacher,T,5,yes,U,16,0,4,GT3,yes,4,5,mother,5,yes,yes,yes,yes,13,home,yes,GP,no,M,2,1
1,3,other,12,13,3,services,T,2,yes,U,16,0,4,GT3,no,2,3,mother,3,yes,yes,yes,yes,11,home,yes,GP,no,M,2,1
3,3,services,14,15,3,other,T,5,yes,U,17,0,4,GT3,no,3,5,mother,5,yes,yes,no,no,15,reputation,no,GP,no,M,1,1
1,2,other,13,14,4,other,T,3,yes,U,15,0,5,GT3,yes,3,3,mother,1,yes,yes,yes,no,14,reputation,no,GP,no,F,3,1
5,4,services,13,13,4,other,A,5,yes,U,15,0,1,GT3,yes,3,3,mother,3,yes,yes,no,no,13,reputation,yes,GP,no,M,4,1
1,3,other,10,9,3,other,T,1,yes,U,17,0,3,GT3,no,2,3,mother,4,yes,no,no,no,10,home,no,GP,no,F,3,1
3,4,services,10,9,3,at_home,T,4,no,U,17,1,4,GT3,yes,4,3,mother,5,yes,yes,yes,yes,10,home,yes,GP,no,F,3,1
1,3,other,8,8,4,teacher,T,1,no,U,18,0,4,GT3,yes,3,2,mother,3,yes,yes,no,yes,11,course,no,GP,no,M,2,1
1,3,other,13,14,2,other,T,1,no,U,16,0,5,GT3,no,3,3,father,3,yes,yes,yes,no,15,home,no,GP,no,M,1,2
1,2,at_home,9,8,2,at_home,A,2,no,U,17,1,3,GT3,yes,3,1,father,4,yes,yes,yes,no,0,home,yes,GP,no,F,2,1
1,3,other,7,7,4,teacher,T,1,yes,R,17,0,4,GT3,yes,4,2,mother,4,yes,yes,yes,yes,6,reputation,yes,GP,no,F,3,2
1,2,other,15,14,4,health,T,1,no,U,20,2,5,GT3,yes,4,3,other,3,yes,yes,no,yes,13,course,yes,MS,no,F,3,2
1,3,other,7,7,3,other,T,3,no,U,16,0,4,GT3,yes,3,3,mother,4,yes,yes,yes,yes,0,home,yes,GP,no,F,3,1
1,2,other,15,15,4,teacher,T,3,yes,U,16,0,4,LE3,no,5,1,mother,5,yes,yes,yes,no,15,course,no,GP,no,M,2,1
1,3,other,14,13,4,other,T,1,no,U,18,0,4,GT3,yes,3,3,father,3,yes,yes,yes,yes,14,reputation,no,GP,no,F,4,1
2,1,other,7,6,2,at_home,T,2,yes,R,17,2,3,LE3,no,3,2,mother,5,no,yes,yes,no,0,course,yes,GP,no,M,1,2
1,4,teacher,17,15,4,services,T,2,no,U,17,0,5,GT3,no,2,3,mother,5,yes,yes,yes,no,15,home,no,GP,no,M,1,1
2,1,other,8,8,4,services,A,4,yes,U,17,0,4,LE3,no,5,4,mother,5,yes,yes,yes,yes,10,home,yes,GP,no,M,1,2
1,4,other,19,18,4,other,T,1,no,R,18,0,5,LE3,no,4,4,mother,1,yes,yes,yes,no,15,reputation,no,MS,no,F,3,2
1,2,services,14,12,4,teacher,T,1,yes,U,17,0,4,LE3,yes,2,3,mother,4,yes,yes,yes,yes,14,reputation,no,GP,no,F,4,1
1,1,other,18,18,3,services,T,1,no,R,17,0,3,LE3,yes,1,2,mother,3,yes,no,yes,yes,16,reputation,no,GP,no,F,4,2
3,3,services,9,9,3,other,T,3,yes,U,19,2,4,GT3,yes,3,5,other,5,yes,yes,yes,yes,8,home,no,GP,no,F,2,1
1,4,services,9,11,4,teacher,T,1,yes,U,15,0,4,GT3,yes,2,2,mother,5,yes,yes,yes,yes,11,course,no,GP,no,F,3,1
1,3,other,7,10,3,at_home,T,3,no,U,16,0,5,GT3,yes,3,3,other,2,yes,yes,no,no,10,reputation,no,GP,yes,M,2,3
1,0,other,13,15,1,other,T,1,yes,U,16,0,4,GT3,yes,3,2,mother,3,yes,yes,yes,yes,15,reputation,yes,GP,no,M,2,2
1,3,services,10,12,2,other,T,3,yes,U,15,0,3,GT3,yes,2,2,father,3,yes,yes,no,yes,11,course,yes,GP,yes,M,1,1
1,3,other,10,10,4,other,T,1,yes,U,17,0,5,GT3,yes,2,3,mother,2,yes,yes,yes,no,10,course,yes,GP,no,M,2,1
1,4,health,12,12,3,services,T,1,yes,R,15,0,4,GT3,yes,3,2,mother,5,yes,yes,yes,yes,11,course,no,GP,yes,F,3,1
1,2,health,17,17,3,health,T,2,yes,U,17,0,5,GT3,yes,2,2,father,5,yes,yes,no,yes,15,reputation,no,GP,no,F,4,1
2,3,other,10,10,1,at_home,T,4,no,R,18,0,3,GT3,yes,3,4,mother,3,yes,no,yes,yes,10,course,no,MS,no,M,2,2
1,1,services,6,5,1,other,T,3,no,R,19,1,4,GT3,no,3,2,mother,5,yes,no,yes,no,0,other,no,MS,no,M,1,2
1,2,at_home,5,0,3,services,T,1,no,U,19,3,4,GT3,yes,5,4,mother,4,no,yes,yes,no,0,home,yes,GP,no,M,1,1
1,3,other,13,11,4,services,T,3,yes,R,17,0,4,GT3,yes,5,5,mother,2,yes,yes,no,yes,10,home,yes,MS,no,M,2,2
1,4,teacher,14,14,4,teacher,T,2,no,U,17,0,4,GT3,yes,3,3,mother,4,yes,yes,no,yes,14,course,yes,GP,no,F,3,2
1,3,services,11,11,2,other,T,1,yes,U,17,0,4,GT3,no,4,3,father,3,yes,yes,yes,no,11,home,no,MS,no,M,2,2
1,3,other,16,16,4,health,T,5,yes,U,16,0,4,GT3,yes,3,5,mother,2,yes,yes,yes,no,15,home,no,GP,no,F,2,1
1,3,services,10,10,1,at_home,T,4,no,U,17,0,5,GT3,no,3,3,father,2,no,yes,yes,no,10,course,no,GP,no,M,1,1
2,4,teacher,10,11,4,health,T,3,yes,R,16,0,2,GT3,yes,4,4,mother,4,yes,no,yes,no,9,other,no,GP,no,F,2,1
1,1,other,12,10,1,other,T,2,no,U,17,0,4,GT3,no,3,3,father,4,yes,yes,no,yes,11,reputation,no,GP,no,M,2,1
1,2,other,10,13,2,at_home,T,1,yes,U,16,1,3,GT3,no,1,2,mother,5,yes,yes,yes,no,11,home,no,GP,yes,F,2,1
1,3,other,14,12,3,health,T,3,no,U,17,0,4,GT3,yes,4,3,mother,5,yes,yes,yes,yes,11,home,no,GP,no,M,1,1
2,1,other,8,6,1,other,T,4,no,R,15,2,3,GT3,yes,3,4,mother,5,yes,yes,no,no,7,reputation,yes,GP,yes,F,2,1
1,2,services,12,11,3,services,T,1,yes,U,16,1,4,GT3,yes,5,2,mother,2,no,no,no,no,13,course,no,GP,no,M,1,2
2,3,services,12,12,3,services,T,3,yes,U,17,0,4,GT3,yes,3,4,mother,4,yes,yes,yes,no,12,other,yes,GP,no,M,2,1
1,1,services,6,6,2,at_home,T,2,yes,R,17,0,4,GT3,yes,2,5,mother,5,yes,yes,yes,no,6,reputation,no,GP,no,F,2,2
1,4,teacher,9,0,3,at_home,T,1,no,R,15,0,5,GT3,yes,3,3,mother,5,yes,no,yes,no,0,course,yes,GP,no,M,2,4
2,2,other,9,8,2,other,T,4,yes,U,18,0,4,LE3,yes,5,5,mother,5,yes,yes,yes,no,10,course,no,GP,no,M,4,1
1,3,services,13,14,3,other,T,1,yes,U,16,0,5,GT3,no,4,2,father,5,yes,yes,yes,no,15,home,no,GP,no,M,1,2
1,2,other,10,13,2,other,T,3,no,U,17,0,3,LE3,yes,4,4,father,5,yes,yes,yes,no,14,course,yes,GP,no,F,1,1
1,1,other,12,10,2,other,A,2,yes,U,17,0,3,GT3,no,2,3,mother,3,yes,yes,yes,no,11,course,yes,GP,no,F,3,2
1,2,other,7,4,2,services,T,2,yes,R,18,2,3,GT3,yes,3,3,mother,4,yes,yes,yes,no,0,reputation,no,GP,no,M,1,1
1,1,other,7,9,1,health,T,2,yes,U,17,1,4,LE3,yes,4,4,mother,5,yes,yes,yes,no,10,course,no,GP,no,M,1,2
5,2,other,12,13,2,other,T,5,no,U,18,0,3,GT3,yes,3,3,mother,4,yes,yes,yes,yes,13,home,no,GP,no,M,2,2
1,3,other,8,10,3,other,T,1,yes,U,16,0,5,GT3,yes,3,2,mother,4,yes,no,yes,no,10,reputation,no,GP,yes,F,2,3
2,4,teacher,18,18,4,services,T,3,no,U,17,1,4,GT3,yes,2,4,mother,2,yes,yes,yes,no,18,home,no,GP,no,F,1,2
2,1,other,7,8,1,at_home,T,3,no,U,15,3,4,LE3,no,3,2,mother,3,yes,yes,yes,yes,10,other,no,GP,yes,F,2,1
1,3,at_home,11,11,4,services,A,1,no,U,19,0,4,LE3,yes,3,1,mother,1,yes,yes,yes,no,11,reputation,no,GP,no,M,2,1
1,2,other,7,6,2,other,T,2,no,R,17,0,5,GT3,yes,3,2,mother,3,yes,yes,yes,no,6,reputation,no,GP,no,F,1,1
1,4,other,14,13,3,other,T,2,no,U,15,0,3,GT3,no,4,3,father,4,yes,yes,yes,no,14,reputation,no,GP,no,M,1,1
2,3,other,9,8,4,teacher,T,3,yes,U,16,0,3,GT3,yes,4,3,mother,3,yes,yes,yes,yes,10,home,no,GP,no,M,2,1
1,4,health,13,13,2,other,T,2,yes,U,16,0,4,LE3,yes,2,2,father,5,yes,yes,yes,yes,13,course,yes,GP,no,F,2,2
2,2,other,7,0,1,other,T,4,yes,U,16,1,4,LE3,no,4,4,mother,5,yes,no,yes,no,0,course,no,GP,no,M,1,2
1,4,other,7,10,3,other,A,1,yes,U,15,0,5,LE3,no,3,2,mother,1,yes,yes,yes,no,10,home,yes,GP,yes,F,2,1
2,4,other,10,11,4,teacher,A,3,no,R,17,0,3,LE3,yes,3,3,mother,4,yes,yes,yes,yes,11,course,no,GP,no,M,2,2
1,4,other,12,11,3,services,A,4,no,U,16,0,3,GT3,no,2,1,father,5,yes,yes,yes,no,13,course,no,GP,no,F,1,1
5,4,services,7,7,4,services,T,5,yes,U,16,0,4,GT3,yes,5,5,mother,4,yes,yes,yes,yes,8,other,no,GP,yes,M,1,1
1,3,services,15,14,2,other,T,3,yes,U,18,0,4,GT3,yes,5,5,father,2,yes,yes,yes,yes,14,reputation,yes,GP,no,F,4,1
4,4,teacher,14,12,4,other,T,2,no,R,18,0,3,GT3,yes,2,2,father,5,yes,yes,no,yes,12,other,yes,MS,no,F,2,3
2,2,other,9,10,3,other,A,3,no,R,17,0,4,GT3,yes,3,3,mother,2,yes,yes,yes,yes,10,home,no,GP,no,F,2,1
1,3,other,7,7,2,at_home,T,4,no,U,17,0,3,GT3,yes,3,3,father,3,yes,no,yes,yes,10,home,no,GP,no,F,1,2
1,4,services,9,9,4,teacher,T,4,yes,U,18,0,3,GT3,no,2,4,mother,3,yes,yes,yes,yes,10,home,no,GP,no,M,1,2
1,2,services,8,10,1,other,T,1,yes,U,16,0,4,LE3,no,4,3,father,1,yes,yes,yes,no,10,reputation,no,GP,yes,F,2,1
1,3,services,11,12,3,other,A,4,no,U,16,0,2,LE3,yes,3,5,mother,3,yes,yes,yes,no,11,home,no,GP,no,F,2,1
1,4,other,5,5,3,at_home,T,2,no,U,16,0,2,GT3,yes,4,3,mother,3,yes,yes,yes,no,6,course,no,GP,no,F,2,1
2,2,other,15,15,4,teacher,T,2,no,U,15,0,4,GT3,yes,3,3,mother,5,yes,no,yes,yes,15,home,no,GP,no,M,2,1
2,4,other,6,5,3,other,T,4,yes,U,16,2,3,GT3,yes,4,5,father,2,yes,yes,no,no,0,course,no,GP,no,M,1,3
1,4,teacher,11,9,4,teacher,T,3,yes,U,17,0,4,GT3,yes,5,5,mother,2,yes,yes,yes,no,10,reputation,yes,GP,yes,M,2,1
1,3,other,9,10,4,other,T,1,yes,U,18,0,4,GT3,yes,3,4,mother,5,yes,yes,yes,yes,10,course,yes,GP,no,F,3,1
1,3,services,10,11,4,teacher,T,2,yes,U,18,0,4,LE3,no,2,3,mother,1,yes,yes,yes,yes,11,course,no,GP,no,M,1,2
2,4,services,7,9,4,services,T,3,no,U,15,2,4,GT3,no,4,4,father,5,yes,yes,yes,yes,10,reputation,yes,GP,no,F,2,2
1,1,other,8,9,2,other,T,1,no,U,16,0,4,GT3,yes,3,5,mother,5,yes,no,yes,yes,10,course,yes,GP,no,F,2,1
2,4,teacher,18,18,4,teacher,T,5,yes,R,16,0,3,GT3,no,5,5,mother,4,yes,yes,yes,yes,15,course,no,GP,no,M,1,1
1,1,services,10,10,1,other,T,2,no,U,18,0,3,LE3,no,3,2,father,3,yes,yes,no,no,11,home,yes,MS,no,M,1,2
4,2,services,9,9,2,services,A,5,no,U,20,2,5,LE3,yes,5,4,other,4,yes,no,yes,yes,8,course,no,MS,no,M,2,1
2,4,teacher,11,11,4,other,T,2,no,U,17,0,4,LE3,no,1,1,father,5,yes,yes,yes,yes,12,home,no,GP,no,M,1,2
2,2,other,13,13,2,other,T,4,yes,U,16,0,5,LE3,yes,4,4,mother,5,yes,yes,yes,no,11,reputation,no,GP,no,M,2,2
1,2,health,11,13,2,services,T,1,yes,U,15,0,4,LE3,yes,3,4,mother,4,yes,yes,yes,no,14,reputation,no,GP,no,M,4,1
1,4,teacher,15,13,4,teacher,A,1,yes,U,18,0,5,LE3,yes,4,3,mother,2,yes,yes,yes,yes,14,reputation,no,GP,no,M,2,1
2,2,other,6,7,2,services,T,4,yes,U,18,1,4,GT3,yes,4,4,mother,5,yes,yes,yes,yes,8,home,no,GP,no,M,2,1
2,1,other,12,12,3,other,T,2,yes,U,16,0,5,GT3,no,3,2,mother,5,yes,no,yes,no,12,reputation,no,GP,no,M,1,1
1,2,other,10,9,4,health,T,3,yes,U,18,0,5,GT3,yes,4,5,father,5,yes,yes,yes,yes,10,reputation,yes,GP,no,M,2,1
2,2,other,13,15,0,other,T,4,no,U,16,0,4,GT3,no,3,2,mother,5,yes,yes,no,yes,15,other,no,GP,no,M,1,1
1,3,services,10,9,3,services,T,1,no,U,18,0,5,GT3,yes,3,4,father,5,yes,no,yes,no,0,course,yes,MS,no,F,2,1
5,1,services,10,8,1,services,T,5,yes,U,16,0,5,GT3,yes,5,5,father,5,yes,yes,no,no,10,course,yes,GP,yes,F,1,4
1,2,services,8,9,2,health,T,3,no,R,15,0,4,LE3,yes,1,3,mother,4,yes,yes,yes,yes,10,reputation,no,GP,yes,F,2,2
1,3,services,11,11,3,services,T,3,no,U,18,0,4,GT3,yes,3,2,mother,3,yes,yes,yes,no,10,other,yes,MS,no,F,2,2
1,3,other,12,12,2,other,T,1,no,U,17,0,5,GT3,no,2,2,father,2,yes,yes,yes,no,11,course,no,GP,no,M,1,2
2,2,services,6,5,3,services,T,4,yes,U,17,3,5,GT3,yes,5,5,mother,5,yes,yes,yes,no,8,course,no,GP,no,M,1,1
1,1,at_home,14,13,3,services,A,2,no,R,19,1,5,GT3,no,4,3,other,5,yes,no,yes,yes,13,home,no,GP,no,F,3,1
1,3,other,9,7,1,other,T,4,yes,R,17,1,5,GT3,yes,2,4,father,5,yes,yes,yes,no,8,course,no,GP,no,M,2,3
1,3,other,10,8,4,other,T,2,no,U,18,0,4,LE3,yes,4,5,other,2,yes,yes,yes,yes,8,home,yes,GP,no,F,2,2
1,1,services,7,9,3,teacher,T,1,no,U,18,0,4,LE3,yes,3,4,mother,1,yes,yes,yes,yes,0,course,no,MS,no,F,2,1
2,2,other,10,10,2,other,T,4,no,U,16,0,4,GT3,no,3,5,father,4,no,yes,yes,no,10,course,no,GP,no,M,2,1
2,3,health,10,9,4,teacher,T,4,yes,U,16,0,3,GT3,yes,4,4,mother,4,yes,yes,yes,yes,9,home,no,GP,yes,F,3,1
1,1,services,8,8,1,at_home,T,1,yes,U,17,0,5,GT3,no,3,3,mother,3,yes,yes,yes,no,0,course,no,GP,no,F,2,1
3,2,health,11,11,4,health,A,4,no,U,15,1,5,LE3,no,5,5,father,5,yes,no,yes,no,10,other,no,GP,no,M,1,2
2,4,services,13,13,4,teacher,T,2,no,U,18,0,4,LE3,no,2,2,mother,5,yes,yes,yes,yes,13,other,yes,MS,no,M,3,2
