Dalc,Fedu,Fjob,Medu,Mjob,PG1,PG2,Pstatus,Walc,activities,address,age,failures,famrel,famsize,famsup,freetime,goout,guardian,health,higher,internet,nursery,paid,predictedMarks,reason,romantic,school,schoolsup,sex,studytime,traveltime
1,4,health,4,teacher,14,14,T,2,no,U,15,0,3,GT3,yes,3,3,mother,2,yes,yes,yes,no,15,reputation,no,GP,no,F,2,1
1,3,other,3,services,12,12,A,1,no,U,17,0,5,LE3,yes,3,3,mother,5,yes,yes,yes,no,13,home,no,GP,yes,F,2,1
1,1,other,4,other,13,14,T,2,no,R,17,0,4,GT3,no,2,3,mother,5,yes,yes,yes,no,14,other,yes,MS,no,F,1,1
1,4,teacher,4,teacher,13,14,T,1,yes,U,15,0,4,GT3,no,3,2,mother,5,yes,yes,yes,no,14,course,no,GP,no,F,1,2
5,2,other,2,other,10,9,T,5,no,U,18,3,3,GT3,yes,3,3,mother,4,yes,yes,yes,yes,10,home,no,GP,no,M,2,2
1,4,other,4,health,9,9,T,3,yes,R,17,3,3,GT3,no,3,3,father,5,yes,yes,yes,no,10,course,yes,MS,no,M,1,3
1,1,services,2,health,9,7,T,4,no,U,16,0,4,GT3,no,2,2,mother,5,yes,yes,no,no,9,other,yes,MS,no,M,2,2
1,4,health,3,services,11,12,T,1,yes,R,15,0,4,GT3,yes,3,2,mother,5,yes,yes,yes,no,13,course,no,GP,yes,F,3,1
1,2,other,2,other,12,12,T,2,no,U,17,0,5,GT3,yes,4,5,mother,5,yes,yes,no,no,13,course,no,GP,no,F,2,1
1,3,services,2,other,14,15,T,1,yes,U,17,0,4,GT3,no,4,3,father,3,yes,yes,yes,no,15,home,no,MS,no,M,2,2
1,3,other,4,other,10,11,A,1,yes,U,15,0,5,LE3,yes,2,2,mother,5,yes,yes,yes,yes,11,course,yes,GP,yes,F,2,1
1,4,teacher,4,services,13,12,T,1,yes,U,15,0,4,GT3,yes,4,4,father,3,yes,yes,no,no,13,other,no,GP,yes,F,2,1
1,2,other,2,other,12,12,T,1,no,U,16,0,5,GT3,yes,1,5,mother,4,yes,yes,no,no,13,home,no,GP,no,F,2,1
1,2,services,3,other,12,9,A,1,no,R,18,0,4,GT3,no,1,1,mother,5,no,yes,no,no,10,home,yes,GP,no,F,2,2
1,4,at_home,4,at_home,15,14,T,1,yes,U,17,0,2,LE3,yes,3,4,mother,1,yes,yes,yes,no,15,course,yes,MS,no,F,2,1
1,2,other,2,other,14,14,A,1,no,U,15,0,4,GT3,yes,5,2,other,3,yes,yes,yes,no,15,home,yes,GP,no,M,3,1
1,2,other,4,teacher,5,0,A,1,yes,R,18,0,5,LE3,no,3,1,mother,5,yes,yes,yes,no,0,reputation,yes,MS,no,F,2,1
1,4,teacher,4,teacher,17,18,T,4,yes,U,18,0,3,GT3,no,2,4,father,2,yes,yes,no,no,17,home,no,MS,no,M,2,1
1,1,other,1,at_home,11,11,T,2,yes,R,17,0,4,GT3,yes,4,5,mother,5,yes,yes,no,no,11,reputation,yes,MS,no,F,1,2
2,1,other,3,at_home,8,9,T,3,yes,R,17,0,4,GT3,yes,5,4,mother,1,yes,yes,no,no,10,reputation,no,MS,no,F,2,1
3,3,services,3,services,11,10,T,4,yes,R,16,0,4,GT3,yes,3,2,mother,5,yes,yes,yes,no,11,reputation,no,GP,no,M,1,1
2,3,other,3,at_home,10,10,T,3,no,R,15,0,5,GT3,yes,4,4,mother,5,yes,yes,yes,no,10,course,no,MS,no,F,1,2
1,2,other,2,other,14,13,T,1,no,U,17,0,4,GT3,yes,2,2,mother,3,yes,no,yes,no,13,course,yes,GP,no,F,2,1
1,2,at_home,3,services,11,9,T,1,no,U,19,0,4,GT3,yes,5,4,mother,4,no,yes,yes,no,10,home,yes,GP,no,M,1,1
1,1,other,1,at_home,12,12,T,1,yes,U,17,0,4,GT3,yes,3,4,mother,5,yes,no,yes,no,13,reputation,yes,GP,no,F,3,1
1,1,other,1,other,9,9,T,1,no,U,16,0,3,LE3,yes,4,2,mother,5,yes,yes,yes,no,10,home,no,GP,no,M,2,2
1,2,services,2,services,13,13,T,1,yes,R,16,0,5,GT3,yes,3,5,mother,5,yes,yes,no,no,13,reputation,no,GP,no,F,4,2
4,4,other,4,services,13,12,T,5,no,U,17,0,5,LE3,yes,3,5,mother,3,yes,yes,yes,no,13,home,yes,GP,no,M,2,1
1,3,other,4,teacher,10,10,T,1,no,U,18,0,4,GT3,yes,3,2,mother,3,yes,yes,no,no,10,course,no,GP,no,M,2,1
2,2,other,2,services,12,12,T,3,no,U,17,0,4,LE3,yes,4,4,mother,5,yes,yes,yes,no,13,course,yes,GP,yes,F,2,2
1,3,other,4,health,12,12,T,3,yes,U,16,0,3,LE3,no,1,3,father,5,yes,yes,yes,no,13,home,no,GP,no,M,1,1
1,3,other,2,at_home,12,13,T,4,no,U,17,0,3,GT3,yes,3,3,father,3,yes,no,yes,no,14,home,no,GP,no,F,1,2
1,1,other,1,at_home,17,17,T,1,yes,R,18,0,5,LE3,yes,2,2,mother,3,yes,no,yes,no,17,reputation,no,GP,no,F,4,2
4,1,other,1,other,10,10,T,3,yes,U,19,0,1,GT3,no,5,5,other,5,no,no,yes,no,10,course,yes,GP,no,F,3,3
1,3,other,4,other,16,17,T,1,no,U,18,0,4,GT3,yes,3,3,father,3,yes,yes,yes,no,17,reputation,no,GP,no,F,4,1
1,1,other,1,other,8,8,A,1,no,U,19,2,5,LE3,yes,3,4,other,4,yes,yes,no,no,9,course,yes,GP,no,F,2,3
1,1,other,2,other,7,11,T,4,no,U,19,0,5,GT3,no,3,4,mother,4,yes,yes,yes,no,10,reputation,no,GP,no,M,1,1
2,3,other,4,other,11,9,T,4,no,U,17,0,3,GT3,no,4,5,mother,1,yes,yes,yes,no,10,reputation,yes,GP,no,F,2,1
1,1,other,1,other,8,9,T,1,yes,R,15,1,5,GT3,no,5,5,mother,1,yes,yes,yes,no,10,course,yes,GP,no,F,1,3
2,1,services,1,at_home,5,0,T,3,no,U,19,1,5,GT3,no,5,5,father,2,no,no,yes,no,0,other,no,MS,no,F,1,2
1,3,other,3,other,14,13,T,1,yes,U,16,0,4,GT3,no,5,4,mother,4,no,yes,yes,no,13,reputation,yes,MS,no,F,1,1
1,2,at_home,2,at_home,12,12,T,1,yes,U,17,0,4,GT3,yes,3,3,mother,4,yes,yes,yes,no,13,course,no,GP,no,F,3,1
2,3,other,3,other,14,13,T,3,yes,U,17,0,5,LE3,yes,3,3,mother,1,yes,yes,yes,no,13,reputation,yes,GP,no,F,2,1
1,1,other,1,other,12,13,T,1,yes,U,18,0,5,GT3,no,4,4,mother,4,yes,yes,yes,no,14,home,no,GP,yes,F,2,2
2,2,services,3,at_home,11,10,T,2,no,R,19,0,5,GT3,yes,3,4,other,5,yes,no,no,no,11,home,yes,GP,no,M,1,1
3,1,other,2,at_home,9,10,T,5,yes,U,16,1,4,LE3,no,4,4,mother,5,yes,no,yes,no,10,course,yes,GP,no,M,1,1
1,1,other,2,at_home,11,10,A,1,yes,U,15,0,4,LE3,yes,4,2,mother,5,no,yes,yes,no,11,home,yes,GP,no,F,1,2
1,2,other,2,other,13,12,T,1,no,U,16,0,4,LE3,no,4,4,mother,3,yes,yes,yes,no,13,home,no,GP,no,M,2,1
1,2,services,4,teacher,8,8,T,3,yes,U,17,0,5,GT3,yes,5,5,mother,5,yes,yes,yes,no,9,home,no,MS,yes,F,2,1
1,1,other,1,other,13,13,T,1,no,U,18,0,4,LE3,yes,4,3,mother,3,yes,no,no,no,13,home,no,GP,no,F,2,2
1,1,other,2,other,16,16,T,2,yes,U,18,0,5,GT3,no,2,4,mother,4,yes,yes,yes,no,16,home,no,GP,no,M,2,1
1,1,other,2,other,7,7,T,3,yes,R,18,0,4,GT3,no,4,3,mother,5,yes,yes,no,no,8,other,yes,MS,no,M,1,2
1,2,services,1,other,9,8,T,2,no,U,16,1,1,GT3,yes,3,2,mother,4,yes,no,yes,no,10,course,no,MS,no,F,3,1
1,2,other,1,other,14,14,T,4,yes,R,16,0,5,LE3,no,4,5,mother,2,yes,yes,yes,no,15,reputation,no,MS,no,F,1,2
2,2,other,2,services,12,11,T,4,yes,U,18,0,4,GT3,yes,4,4,mother,5,yes,yes,yes,no,11,home,no,GP,no,M,2,1
2,2,other,2,at_home,12,11,T,3,yes,R,16,1,4,GT3,yes,4,4,mother,5,yes,no,no,no,11,course,no,MS,no,F,2,2
2,2,services,2,other,12,13,A,2,no,U,16,0,4,LE3,yes,1,2,father,5,yes,yes,no,no,14,course,yes,MS,no,M,2,2
1,3,services,4,health,12,12,T,4,no,U,18,0,3,LE3,yes,2,4,mother,1,yes,yes,yes,no,13,course,no,GP,no,F,1,2
1,2,other,2,at_home,14,13,T,1,yes,R,18,0,4,GT3,no,4,4,mother,4,yes,no,yes,no,13,course,no,GP,no,F,4,2
1,1,services,1,other,11,10,T,2,no,U,17,0,4,GT3,yes,3,4,father,5,yes,no,yes,no,11,course,no,GP,no,F,2,1
1,3,other,3,health,12,13,A,3,no,U,17,0,3,GT3,yes,3,3,mother,3,yes,yes,no,no,14,reputation,yes,GP,no,F,2,1
1,4,other,1,other,9,9,A,1,no,R,17,1,5,LE3,yes,5,4,other,5,yes,yes,yes,no,10,course,no,GP,no,F,1,4
3,2,health,4,health,10,9,A,4,no,U,15,0,5,LE3,no,5,5,father,5,yes,no,yes,no,10,other,no,GP,no,M,1,2
5,1,services,1,services,10,10,T,5,yes,U,16,0,5,GT3,yes,5,5,father,5,yes,yes,no,no,10,course,yes,GP,yes,F,1,4
1,1,other,2,other,10,12,T,2,yes,R,20,0,1,GT3,yes,2,3,other,2,no,yes,yes,yes,13,course,yes,GP,no,F,2,2
1,3,other,4,health,15,15,T,4,yes,U,17,0,2,LE3,no,5,5,mother,5,yes,yes,yes,no,15,course,yes,GP,no,M,2,2
1,3,services,3,services,13,12,T,3,no,U,18,0,4,GT3,yes,3,2,mother,3,yes,yes,yes,no,13,other,yes,MS,no,F,2,2
1,4,health,4,health,11,12,T,1,no,U,15,0,5,GT3,yes,4,2,father,5,yes,yes,yes,yes,13,other,no,GP,no,M,1,1
1,1,other,2,other,8,9,T,2,no,R,18,0,4,GT3,yes,3,5,mother,3,no,yes,yes,no,10,reputation,yes,GP,no,F,2,2
1,4,services,4,health,12,13,T,3,yes,U,15,0,4,LE3,yes,3,3,father,5,yes,yes,yes,no,14,course,no,GP,no,M,1,1
1,2,other,4,teacher,15,16,T,4,yes,U,18,0,4,GT3,yes,3,2,mother,5,yes,yes,yes,no,16,home,yes,GP,no,M,2,1
1,2,other,3,at_home,12,12,T,3,yes,U,16,0,5,GT3,no,3,3,mother,2,yes,yes,yes,no,13,reputation,yes,GP,no,M,3,2
1,4,services,2,other,8,5,A,3,no,U,18,1,2,GT3,yes,3,2,father,1,yes,yes,yes,no,0,reputation,no,MS,no,F,2,1
4,3,other,3,other,13,12,A,4,no,U,15,0,5,LE3,no,3,4,mother,1,yes,yes,yes,no,13,other,no,GP,no,F,1,1
3,1,other,3,services,11,11,T,4,yes,U,17,0,5,GT3,no,4,4,mother,5,yes,yes,yes,no,11,other,yes,GP,no,M,2,1
1,3,services,1,at_home,14,13,T,1,yes,U,16,0,4,GT3,no,3,5,mother,3,yes,yes,no,no,13,home,yes,GP,no,F,2,1
1,3,services,2,at_home,10,10,T,2,no,U,18,0,5,GT3,yes,2,3,father,4,yes,yes,yes,no,10,course,yes,MS,no,F,1,2
1,2,other,1,other,13,14,T,1,no,R,16,0,4,GT3,yes,3,4,father,3,yes,yes,no,no,14,home,yes,MS,yes,F,3,1
1,3,services,3,other,10,10,T,2,yes,R,19,0,4,GT3,no,5,3,father,5,yes,no,yes,no,10,reputation,yes,GP,no,M,2,1
2,3,other,4,teacher,11,10,T,3,yes,U,16,0,3,GT3,yes,4,3,mother,3,yes,yes,yes,yes,11,home,no,GP,no,M,2,1
2,2,other,2,other,14,11,T,2,no,R,15,0,4,LE3,yes,4,3,father,5,yes,no,yes,no,11,other,no,MS,yes,F,3,1
1,4,other,4,other,9,12,T,1,yes,U,21,2,3,LE3,no,3,2,other,5,yes,yes,yes,yes,13,reputation,no,GP,no,F,3,1
2,2,other,3,other,12,13,T,3,no,U,17,0,4,GT3,yes,3,2,mother,2,yes,yes,yes,no,14,home,yes,GP,no,F,2,1
2,2,services,2,services,11,11,T,2,yes,R,17,0,3,LE3,yes,3,2,mother,3,yes,yes,yes,no,11,course,no,GP,no,F,3,1
1,1,services,2,services,14,15,T,3,yes,U,18,0,4,GT3,no,2,4,mother,2,yes,yes,yes,no,15,reputation,no,GP,no,M,3,1
1,4,teacher,4,teacher,13,13,T,3,yes,U,17,0,4,GT3,yes,5,5,mother,2,yes,yes,yes,no,13,reputation,yes,GP,yes,M,2,1
1,2,other,4,health,16,14,T,1,no,U,15,0,4,LE3,yes,3,3,mother,5,yes,yes,yes,no,15,other,no,GP,no,F,2,1
1,2,services,2,services,7,6,T,2,yes,R,18,1,2,LE3,yes,3,3,mother,4,yes,yes,yes,no,8,course,no,MS,no,F,2,1
2,2,at_home,2,other,7,8,T,2,yes,U,18,1,4,GT3,yes,4,3,other,1,no,yes,no,no,9,course,yes,GP,no,M,1,1
1,1,at_home,4,health,8,10,T,1,no,U,17,0,3,GT3,yes,2,2,mother,5,yes,no,yes,no,10,course,yes,MS,no,F,1,1
1,3,other,4,health,14,12,T,2,yes,U,17,0,3,LE3,no,2,3,father,3,yes,yes,yes,no,13,reputation,yes,GP,no,F,2,1
1,2,other,4,teacher,14,17,T,1,yes,U,18,0,4,LE3,yes,2,2,mother,3,yes,yes,yes,no,17,course,no,GP,no,F,2,1
2,1,other,2,other,12,12,T,4,no,R,17,0,4,GT3,no,4,2,mother,5,yes,yes,no,no,13,course,no,GP,no,M,1,1
1,1,other,1,at_home,6,8,T,3,no,U,16,0,4,LE3,yes,3,2,mother,5,yes,yes,yes,no,9,other,no,MS,no,F,2,3
1,0,other,1,other,11,9,A,1,no,U,17,0,4,GT3,no,4,5,mother,4,yes,yes,yes,no,10,other,yes,MS,no,F,2,2
1,1,other,3,other,8,8,T,1,yes,R,18,0,5,GT3,no,3,3,mother,4,yes,yes,yes,no,9,reputation,yes,GP,no,F,2,1
1,3,at_home,4,other,12,13,T,1,no,U,16,0,5,GT3,yes,3,5,mother,3,yes,yes,yes,no,14,course,no,GP,yes,F,3,1
1,4,other,4,services,12,13,T,1,yes,U,15,0,5,GT3,yes,3,3,mother,5,yes,yes,no,yes,14,course,no,GP,no,M,1,1
2,1,other,1,other,7,9,T,4,yes,R,15,0,5,GT3,yes,4,5,mother,4,yes,no,yes,no,10,course,yes,MS,no,M,2,4
