,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,MG1,MG2
0,1,0,15,1,1,1,1,1,5,5,1,1,1,2,0,0,1,0,1,0,1,1,0,4,3,2,2,3,4,2,9,10
1,1,0,19,1,1,1,2,1,3,3,1,0,1,3,1,0,0,1,1,1,1,1,1,4,3,4,1,3,3,4,11,12
2,1,1,15,1,1,0,3,4,3,5,3,2,1,2,0,0,1,1,1,1,1,1,0,5,4,4,1,1,1,0,16,18
3,1,0,15,1,1,1,3,2,2,3,1,1,1,2,3,0,1,0,0,1,1,1,0,3,3,2,1,1,3,0,6,7
4,1,1,17,1,0,1,4,3,1,5,3,2,2,2,0,0,0,1,1,1,1,1,0,4,4,4,4,4,4,4,10,9
5,1,1,18,1,1,1,4,2,1,5,1,2,1,2,0,0,1,1,1,1,1,1,1,4,3,2,1,4,5,11,12,11
6,1,0,18,1,0,1,2,2,5,5,1,0,1,2,0,0,0,0,1,0,1,1,1,4,3,3,1,1,2,0,8,8
7,1,0,18,1,1,0,4,4,4,1,3,2,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,6,5,6
8,1,0,16,1,1,1,2,2,5,5,1,2,1,2,0,0,1,1,0,0,1,1,0,5,1,5,1,1,4,0,6,7
9,1,0,17,1,1,1,4,3,5,5,2,2,1,2,2,0,0,1,0,1,1,1,1,3,4,5,2,4,1,22,6,6
10,1,0,18,1,0,1,1,1,5,5,1,2,2,2,0,0,1,1,0,0,1,0,0,4,4,3,1,1,3,2,11,11
11,1,0,18,0,1,1,3,1,5,5,2,2,1,2,1,0,0,0,1,1,1,1,1,5,3,3,1,1,4,16,9,8
12,1,1,19,1,1,1,3,3,5,5,1,0,1,2,1,0,1,0,1,1,1,1,1,4,4,4,1,1,3,20,15,14
13,1,0,17,1,1,1,4,4,5,1,3,2,1,1,0,1,1,0,0,1,1,0,1,4,2,1,1,1,4,0,11,11
14,1,0,17,1,0,1,2,2,3,5,3,2,2,2,0,1,1,1,0,1,1,1,1,4,4,4,2,3,5,6,12,12
15,1,0,18,1,1,1,4,4,1,5,3,2,1,2,0,0,1,1,0,1,1,1,0,4,4,4,3,3,5,2,11,11
16,1,0,18,0,1,1,4,4,1,5,2,2,2,2,0,0,0,1,1,1,1,1,0,4,3,4,2,2,4,8,12,10
17,1,0,15,1,0,1,4,2,2,5,4,2,1,2,0,0,1,1,0,1,1,1,0,4,3,3,1,1,5,2,11,13
18,1,0,16,1,1,1,3,2,5,5,2,2,1,2,0,0,1,1,0,1,1,1,0,1,2,2,1,2,1,14,12,13
19,1,0,15,0,1,1,3,3,3,3,2,0,2,3,2,0,1,1,1,1,1,1,1,4,2,1,2,3,3,8,10,10
20,1,0,17,1,1,1,2,4,3,3,2,1,1,2,0,0,1,0,1,1,1,0,0,5,4,2,2,3,5,0,16,17
21,1,1,15,1,0,1,4,4,2,3,3,1,1,1,0,0,1,1,1,1,1,1,0,4,3,3,1,3,5,2,14,14
22,1,1,19,0,1,1,3,3,5,3,2,1,1,2,1,0,0,0,1,1,1,0,1,4,5,3,1,2,5,0,15,12
23,1,1,16,1,1,1,4,4,2,5,2,1,1,2,0,0,1,1,1,1,1,1,0,4,2,4,2,4,1,2,14,13
24,1,1,15,1,1,1,4,4,3,5,3,2,1,1,0,0,1,0,1,0,1,1,0,5,3,3,1,1,5,4,10,13
25,1,0,18,1,1,1,1,1,5,5,1,2,2,2,0,1,0,0,1,1,1,1,0,5,4,4,1,1,4,4,8,9
26,1,1,16,1,0,1,4,3,3,5,2,2,1,2,0,0,1,1,1,1,1,1,0,5,4,2,1,2,5,10,15,15
27,0,1,17,1,1,1,3,3,2,5,3,2,2,2,0,0,1,1,0,1,1,1,0,4,5,4,2,3,3,2,13,13
28,1,1,16,1,0,1,4,3,1,5,3,2,1,1,0,0,0,0,1,0,1,1,0,5,4,5,1,1,3,0,6,0
29,1,1,15,1,1,1,3,4,3,3,1,1,1,1,0,1,0,0,0,1,1,1,0,5,5,5,3,2,5,0,13,13
30,1,1,17,0,0,1,1,2,5,5,2,2,1,1,0,0,0,0,0,1,1,0,0,2,2,2,3,3,5,8,16,12
31,1,0,17,1,1,1,1,1,5,5,3,2,1,2,0,0,1,1,0,0,1,0,0,4,4,4,1,3,1,4,9,9
32,1,1,16,0,1,1,2,2,4,5,3,2,3,1,0,0,0,0,0,0,1,0,0,4,2,2,1,2,3,2,17,15
33,1,1,17,0,1,1,1,2,4,5,1,2,1,2,0,0,0,0,0,1,1,0,0,3,1,3,1,5,3,4,8,9
34,1,1,19,1,1,1,4,4,1,3,2,0,2,1,1,0,1,1,0,1,1,1,1,4,3,4,1,1,4,38,8,9
35,1,1,15,1,0,1,4,2,1,5,3,2,1,1,0,0,0,0,0,1,1,1,0,3,5,2,1,1,3,10,18,19
36,1,1,16,1,1,1,2,1,5,5,3,2,3,1,0,0,0,0,0,1,1,1,0,4,3,3,1,1,4,6,18,18
37,1,0,15,1,0,0,4,3,5,5,3,2,1,2,0,1,1,1,1,1,1,1,1,5,2,2,1,1,5,8,8,8
38,1,0,15,0,1,1,1,1,4,5,1,2,2,4,1,1,1,1,1,1,1,1,0,3,1,2,1,1,1,2,7,10
39,1,0,16,1,0,1,1,1,4,4,3,2,1,1,0,0,0,0,0,1,1,1,0,3,4,4,3,3,1,2,14,14
40,1,0,15,0,0,1,3,1,5,5,2,1,2,4,0,0,1,0,0,0,1,1,0,4,4,2,2,3,3,12,16,16
41,1,0,19,1,1,1,2,1,4,5,4,0,3,2,0,0,1,0,0,1,0,1,1,3,4,1,1,1,2,20,14,12
42,1,1,17,0,1,1,2,2,3,5,3,2,4,1,0,0,1,0,0,1,1,1,0,4,4,5,5,5,4,8,11,10
43,1,0,17,1,1,1,1,1,4,5,3,1,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,4,5,5
44,1,0,18,0,0,1,1,1,4,5,2,2,2,4,0,0,1,1,1,1,1,0,0,5,2,2,1,1,3,1,12,12
45,1,0,15,1,1,1,1,2,4,5,3,2,1,2,0,0,1,1,0,0,1,1,0,4,3,2,1,1,5,2,10,11
46,1,0,16,1,1,0,2,2,5,5,2,2,1,2,0,1,1,1,0,1,1,1,0,3,3,4,1,1,4,0,12,13
47,1,0,18,1,0,0,4,4,2,5,1,2,1,2,0,0,1,0,0,1,1,1,1,4,2,4,1,1,4,14,12,10
48,1,1,16,0,0,1,3,3,1,5,1,1,3,1,0,0,1,1,1,1,1,1,0,3,3,4,3,5,3,8,9,9
49,1,1,16,1,1,1,3,3,5,3,3,1,1,2,1,0,1,1,0,1,1,1,1,4,5,5,4,4,5,4,10,12
50,1,0,18,1,0,1,3,3,3,3,1,2,1,4,0,0,1,0,0,1,1,1,0,5,3,3,1,1,1,7,16,15
51,0,1,21,0,1,1,1,1,5,5,3,0,1,1,3,0,0,0,0,0,1,0,0,5,5,3,3,3,3,3,10,8
52,1,0,15,1,1,1,4,3,3,5,2,2,1,1,0,0,0,1,1,1,1,1,0,4,5,5,1,3,1,4,16,17
53,0,0,17,0,1,1,3,1,4,5,2,2,1,2,0,0,1,1,1,0,1,1,0,4,5,4,2,3,1,17,10,10
54,1,0,16,1,1,1,2,3,5,5,2,2,1,2,0,1,1,1,1,1,1,0,0,4,4,3,1,3,4,6,8,10
55,1,1,16,1,1,1,4,4,1,1,3,1,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,2,5,2,15,15
56,0,1,18,0,0,1,1,2,4,3,4,1,3,1,0,0,1,1,1,1,0,1,1,4,3,3,2,3,3,3,14,12
57,1,1,17,1,0,1,4,4,3,5,1,2,1,2,0,0,1,1,0,1,1,1,1,5,3,5,4,5,3,13,12,12
58,1,0,15,1,1,1,2,3,5,5,4,1,2,1,0,0,1,0,1,1,1,0,0,3,5,1,1,1,5,0,8,7
59,1,0,17,1,0,1,2,2,3,3,3,1,1,4,0,0,0,1,1,1,1,1,1,3,4,1,1,1,2,0,10,9
60,1,0,16,1,0,1,2,2,5,4,3,1,2,2,1,1,0,0,1,1,1,1,0,4,3,3,2,2,5,14,10,10
61,1,1,16,1,1,1,3,2,5,5,1,2,1,1,0,0,1,1,0,0,1,1,0,5,4,3,1,1,5,0,12,14
62,1,1,16,0,1,1,2,1,5,5,3,2,2,1,0,0,0,0,1,0,1,0,0,3,3,2,1,3,3,0,8,9
63,1,1,16,1,1,1,3,3,3,5,1,1,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,1,5,2,16,18
64,1,1,16,1,1,1,4,4,3,3,3,2,1,1,0,0,0,0,1,1,1,1,0,5,3,2,1,2,5,0,13,12
65,1,0,15,1,1,1,4,4,1,1,3,2,2,1,0,0,0,0,1,1,1,1,0,4,3,2,1,1,5,0,16,16
66,0,0,17,0,1,1,4,4,1,3,4,1,2,2,0,0,1,1,1,1,1,1,0,4,3,3,1,2,5,4,12,13
67,0,0,19,1,0,1,3,2,3,3,1,0,2,2,2,0,0,0,1,1,1,0,1,3,2,2,1,1,3,4,7,7
68,1,1,15,1,1,1,2,2,3,3,1,1,1,4,0,0,1,1,1,1,1,1,0,5,5,4,1,2,5,6,16,14
69,1,0,15,1,1,1,1,1,5,3,3,1,1,2,0,0,1,1,0,1,1,1,0,4,4,2,1,2,5,0,8,11
70,1,1,17,1,0,1,2,2,5,5,1,1,1,2,0,0,0,1,1,0,1,1,1,4,4,2,5,5,4,4,14,13
71,1,0,16,1,1,0,3,3,5,5,3,0,2,1,2,0,1,0,1,0,1,1,1,4,3,2,1,1,5,0,4,0
72,1,1,18,1,0,1,4,4,1,1,1,2,1,1,0,0,1,1,0,1,1,1,1,1,4,2,2,2,1,5,16,15
73,1,1,15,1,0,1,4,3,1,3,1,2,1,3,0,0,1,0,1,1,1,1,0,5,4,3,1,1,4,2,15,16
74,1,0,19,1,1,1,1,1,4,2,1,0,1,3,2,0,0,0,0,0,1,1,1,4,1,2,1,1,3,14,15,13
75,1,1,15,1,0,0,4,4,1,1,3,2,1,1,0,0,0,0,1,1,1,1,0,5,5,3,1,1,4,6,18,19
76,1,0,18,1,1,1,2,1,3,5,3,2,2,2,0,0,1,1,1,1,1,1,0,5,3,3,1,2,1,0,8,8
77,1,0,19,1,0,1,1,1,4,5,2,0,1,2,1,1,1,0,1,0,1,1,0,4,4,3,1,3,3,18,12,10
78,0,1,19,1,0,1,1,1,5,4,3,1,1,1,0,0,0,0,0,1,1,1,0,3,2,3,3,3,5,5,8,9
79,1,0,17,1,1,0,4,3,3,3,3,2,1,2,0,0,1,1,0,1,1,1,1,5,2,2,1,2,5,23,13,13
80,1,0,15,1,0,0,3,3,5,5,4,2,1,1,0,0,0,1,0,1,1,1,0,5,3,4,4,4,1,6,10,13
81,1,1,18,0,0,1,3,3,5,3,3,2,1,2,1,0,1,0,0,1,1,1,1,4,3,3,1,3,5,8,3,5
82,1,1,16,1,1,1,3,2,4,5,2,2,2,3,0,0,0,0,1,1,1,1,1,5,3,3,1,3,2,10,11,9
83,0,1,18,0,1,1,3,2,5,5,3,2,2,1,1,0,1,0,0,0,1,1,0,2,5,5,5,5,5,10,11,13
84,1,1,16,1,1,1,3,1,5,5,2,1,2,4,0,0,1,1,0,1,1,1,0,4,3,2,1,1,5,0,13,15
85,1,1,16,0,1,1,4,3,3,5,2,2,2,1,0,1,1,0,1,0,1,1,0,3,3,3,1,1,4,2,11,15
86,1,0,18,0,1,1,2,1,5,5,2,2,2,2,0,0,1,0,0,1,0,1,1,4,3,5,1,2,3,0,6,0
87,1,0,17,1,1,1,4,3,2,5,2,2,1,3,0,0,1,1,1,1,1,1,1,4,4,3,1,3,4,0,13,15
88,1,0,16,1,0,1,3,1,5,5,1,1,1,2,0,1,1,0,0,1,1,0,0,3,3,3,2,3,2,4,7,6
89,1,1,17,1,1,1,2,1,5,5,1,2,2,1,3,1,1,0,1,1,0,1,0,4,5,1,1,1,3,2,8,8
90,1,0,17,0,0,1,2,2,3,3,3,2,1,3,0,0,1,1,1,1,1,1,0,3,3,2,2,2,3,3,11,11
91,1,1,18,1,1,1,4,4,5,5,3,2,1,3,0,0,0,0,1,1,1,1,0,4,3,3,2,2,3,3,9,12
92,1,1,15,0,1,1,4,4,5,5,1,1,4,4,0,0,1,1,1,1,1,1,1,1,3,5,3,5,1,6,10,13
93,1,0,15,1,1,0,3,3,5,2,2,1,1,4,0,1,0,0,0,1,1,0,0,4,3,3,1,1,4,10,10,11
94,1,0,16,1,1,1,4,4,2,5,1,2,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,4,14,14
95,0,0,18,0,1,1,1,1,5,5,1,2,4,3,0,0,0,0,0,1,1,1,0,4,3,2,1,2,4,2,8,8
96,1,0,16,1,0,1,2,2,4,5,3,2,1,2,0,0,1,0,0,1,1,0,0,4,3,4,1,2,2,4,8,7
97,1,1,15,1,1,1,4,3,1,3,3,1,2,4,0,1,1,0,0,1,1,1,0,2,2,2,1,1,3,0,7,9
98,1,1,15,1,1,1,4,4,3,1,3,1,1,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,5,2,19,18
99,1,1,15,1,1,1,2,3,5,5,1,2,1,3,0,1,0,1,0,0,1,1,0,5,3,2,1,2,5,4,11,10
100,1,1,16,1,0,0,4,4,1,2,2,2,1,2,0,0,1,0,0,1,1,0,0,4,1,3,3,5,5,18,8,6
101,1,0,17,0,0,1,4,4,3,5,4,2,1,1,0,0,1,1,0,1,1,0,0,5,2,1,1,2,3,12,8,10
102,1,0,15,1,1,1,4,4,3,3,3,2,1,1,0,1,1,1,0,1,1,1,0,3,3,4,2,3,5,0,8,10
103,0,0,18,1,1,1,2,3,4,3,3,1,2,1,0,0,1,1,0,1,1,1,1,5,2,3,1,2,4,0,11,10
104,1,0,15,1,1,1,4,4,3,4,3,2,1,3,0,0,1,0,1,1,1,1,1,4,3,3,1,1,5,0,11,0
105,0,0,17,0,1,1,1,2,5,5,3,2,1,1,0,0,0,0,1,1,1,1,0,3,5,5,1,3,1,14,6,5
106,1,0,19,1,0,1,1,2,3,3,1,0,1,2,1,0,0,0,1,0,1,0,1,4,2,4,2,2,3,0,9,9
107,1,1,15,1,1,1,4,2,5,5,3,2,1,4,0,0,0,0,0,1,1,1,0,3,3,3,1,1,3,0,10,10
108,1,0,18,1,0,1,2,1,3,4,2,2,1,2,1,0,0,0,0,1,1,1,1,5,4,3,1,1,5,12,12,12
109,1,1,22,1,1,1,3,1,3,3,4,2,1,1,3,0,0,0,0,0,0,1,1,5,4,5,5,5,1,16,6,8
110,1,1,18,1,1,1,4,4,1,3,1,1,1,2,1,0,1,0,1,1,1,1,0,4,3,3,2,2,2,0,10,10
111,1,0,17,1,1,1,2,2,5,5,3,2,1,2,0,0,1,0,0,0,1,1,0,5,4,5,1,2,5,4,10,9
112,1,1,15,1,0,0,3,2,3,5,1,2,1,2,0,0,1,1,0,1,1,1,0,4,2,2,1,1,1,0,16,18
113,1,0,17,1,1,1,4,4,1,3,3,2,1,3,0,0,1,1,1,1,1,1,0,5,4,4,1,3,4,7,10,9
114,1,0,16,0,1,1,2,2,3,3,2,2,2,4,0,0,1,1,1,0,1,1,0,5,3,5,1,1,5,6,10,10
115,1,0,15,0,1,1,3,4,3,1,3,1,2,3,2,0,1,0,0,1,1,1,1,4,2,2,2,2,5,0,12,0
116,1,0,17,1,1,1,3,2,5,5,1,2,1,2,0,0,1,1,0,1,1,1,1,4,3,2,2,3,2,0,7,8
117,1,1,17,1,1,1,1,2,4,3,4,0,2,2,0,0,0,1,1,0,1,1,0,4,4,4,4,5,5,12,7,8
118,0,0,18,1,1,1,3,3,5,5,1,2,1,2,0,0,0,1,0,1,1,1,1,4,1,3,1,2,1,0,15,15
119,1,0,17,1,1,0,3,3,2,5,2,2,1,2,0,0,1,0,0,0,1,1,1,3,3,3,1,3,3,6,8,7
120,1,0,16,1,1,1,3,3,5,5,1,1,1,2,0,0,1,1,0,1,1,0,0,4,3,2,1,2,5,4,6,10
121,1,0,16,1,0,1,4,4,1,1,2,2,1,2,0,0,1,1,0,1,1,1,0,4,5,2,1,2,3,0,9,9
122,1,0,16,1,1,1,2,3,3,3,3,2,1,2,0,0,0,0,0,1,1,1,0,4,3,3,1,1,2,10,11,12
123,1,1,15,0,1,1,3,2,5,5,3,2,2,2,2,1,1,0,0,1,1,1,1,4,4,4,1,4,3,6,5,9
124,0,0,17,0,1,1,1,2,5,3,3,1,2,2,0,0,0,0,0,0,1,0,0,3,2,2,1,2,3,0,12,11
125,1,0,17,1,1,0,4,4,5,1,1,2,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,6,6,5
126,1,1,15,0,1,1,2,3,4,3,3,2,1,2,0,1,0,1,1,1,1,0,0,4,4,4,1,1,1,2,11,8
127,1,0,16,1,0,1,2,2,5,5,1,2,2,2,1,0,1,0,1,0,1,1,1,3,3,3,1,2,3,25,7,10
128,0,0,17,1,0,1,4,4,4,4,3,2,1,2,0,0,1,1,1,1,1,1,1,2,3,4,1,1,1,0,16,15
129,1,0,15,1,0,1,3,2,3,5,2,2,1,2,0,0,1,1,0,1,1,1,0,4,4,4,1,1,5,10,7,6
130,1,1,16,1,0,1,2,1,4,5,3,2,1,1,1,0,0,0,1,1,1,0,1,4,4,4,3,5,5,6,12,13
131,0,1,18,1,0,1,1,3,4,3,3,2,1,1,1,0,0,0,0,1,0,1,1,4,3,3,2,3,3,7,8,7
132,1,0,16,1,1,1,4,2,3,5,3,2,1,2,0,0,1,0,0,1,1,1,0,4,2,3,1,1,5,2,15,16
133,1,0,16,1,1,1,4,3,1,5,4,2,1,2,0,0,0,1,1,1,1,1,1,1,3,2,1,1,1,10,11,12
134,1,0,15,1,1,1,4,4,1,2,2,2,1,2,0,0,1,1,0,1,1,1,0,3,3,3,1,2,2,0,10,8
135,1,1,15,0,1,1,4,3,1,4,3,2,1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0,17,16
136,1,0,16,1,1,1,1,3,4,3,1,2,1,2,3,0,0,0,1,0,1,1,1,4,3,5,1,1,3,0,8,7
